"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","2,994,079","48.7%","51.3%","6.4%","6.9%","7.1%","7.5%","7.0%","12.8%","12.9%","12.7%","6.7%","5.7%","8.3%","4.3%","1.7%","(X)","75.5%","70.7%","17.5%","14.3%","2,261,526","47.8%","52.2%","427,313","42.8%","57.2%","","2,994,079","98.7%","1.3%","98.7%","58.8%","37.8%","0.4%","N","N","N","N","0.8%","0.2%","0.1%","0.1%","0.1%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.8%","1.3%","0.5%","0.3%","0.2%","0.1%","","2,994,079","59.9%","38.5%","0.8%","1.1%","0.1%","1.0%","","2,994,079","2.7%","1.8%","0.3%","0.0%","0.6%","97.3%","57.2%","37.7%","0.4%","0.8%","0.0%","0.1%","1.1%","0.0%","1.1%","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,063,589","2,970,513","3,093,076","372,224","391,233","390,938","401,590","430,837","794,702","734,449","823,321","421,229","371,176","527,189","285,255","119,446","38.5","4,671,087","4,415,055","1,152,107","931,890","4,671,087","2,259,225","2,411,862","931,890","408,150","523,740","","6,063,589","5,913,128","150,461","5,913,128","4,990,271","711,601","26,387","8,367","766","94","2,067","107,426","23,346","22,783","11,087","2,810","10,181","14,154","23,065","3,763","1,260","397","1,331","775","73,680","150,461","51,318","42,913","23,057","3,438","","6,063,589","5,126,993","776,892","79,091","139,614","11,876","88,456","","6,063,589","233,325","155,771","17,103","6,288","54,163","5,830,264","4,847,814","703,873","23,902","105,751","3,511","14,014","131,399","2,532","128,867","2,735,803"
"    Percent","","6,063,589","49.0%","51.0%","6.1%","6.5%","6.4%","6.6%","7.1%","13.1%","12.1%","13.6%","6.9%","6.1%","8.7%","4.7%","2.0%","(X)","77.0%","72.8%","19.0%","15.4%","4,671,087","48.4%","51.6%","931,890","43.8%","56.2%","","6,063,589","97.5%","2.5%","97.5%","82.3%","11.7%","0.4%","0.1%","0.0%","0.0%","0.0%","1.8%","0.4%","0.4%","0.2%","0.0%","0.2%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","2.5%","0.8%","0.7%","0.4%","0.1%","","6,063,589","84.6%","12.8%","1.3%","2.3%","0.2%","1.5%","","6,063,589","3.8%","2.6%","0.3%","0.1%","0.9%","96.2%","79.9%","11.6%","0.4%","1.7%","0.1%","0.2%","2.2%","0.0%","2.1%","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,023,579","513,409","510,170","59,775","65,959","62,423","64,969","74,603","128,275","115,039","131,523","79,370","71,490","99,459","49,795","20,899","39.6","798,957","755,782","213,577","170,153","798,957","398,149","400,808","170,153","80,724","89,429","","1,023,579","1,001,726","21,853","1,001,726","914,571","5,812","70,035","824","3,653","642","3,886","8,176","403","1,755","2,372","826","1,295","128","1,397","276","N","N","N","N","2,856","21,853","2,905","10,975","4,802","278","","1,023,579","935,492","9,638","81,795","14,042","1,298","4,034","","1,023,579","34,668","24,943","2,278","819","6,628","988,911","887,541","5,718","67,973","8,042","231","131","19,275","223","19,052","491,515"
"    Percent","","1,023,579","50.2%","49.8%","5.8%","6.4%","6.1%","6.3%","7.3%","12.5%","11.2%","12.8%","7.8%","7.0%","9.7%","4.9%","2.0%","(X)","78.1%","73.8%","20.9%","16.6%","798,957","49.8%","50.2%","170,153","47.4%","52.6%","","1,023,579","97.9%","2.1%","97.9%","89.4%","0.6%","6.8%","0.1%","0.4%","0.1%","0.4%","0.8%","0.0%","0.2%","0.2%","0.1%","0.1%","0.0%","0.1%","0.0%","N","N","N","N","0.3%","2.1%","0.3%","1.1%","0.5%","0.0%","","1,023,579","91.4%","0.9%","8.0%","1.4%","0.1%","0.4%","","1,023,579","3.4%","2.4%","0.2%","0.1%","0.6%","96.6%","86.7%","0.6%","6.6%","0.8%","0.0%","0.0%","1.9%","0.0%","1.9%","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,881,503","936,197","945,306","130,368","133,861","128,544","130,121","133,908","254,597","227,479","236,925","127,131","107,892","145,233","85,068","40,376","36.2","1,413,626","1,330,261","331,636","270,677","1,413,626","695,420","718,206","270,677","119,360","151,317","","1,881,503","1,837,598","43,905","1,837,598","1,660,976","88,620","17,959","505","43","0","5,144","38,892","6,902","5,395","2,433","1,433","3,618","10,271","8,840","1,056","N","N","N","N","30,095","43,905","13,040","12,092","7,341","2,205","","1,881,503","1,700,619","107,378","34,983","47,903","2,919","34,839","","1,881,503","190,280","144,858","4,471","5,417","35,534","1,691,223","1,513,607","86,450","13,298","38,877","829","1,454","36,708","1,150","35,558","814,957"
"    Percent","","1,881,503","49.8%","50.2%","6.9%","7.1%","6.8%","6.9%","7.1%","13.5%","12.1%","12.6%","6.8%","5.7%","7.7%","4.5%","2.1%","(X)","75.1%","70.7%","17.6%","14.4%","1,413,626","49.2%","50.8%","270,677","44.1%","55.9%","","1,881,503","97.7%","2.3%","97.7%","88.3%","4.7%","1.0%","0.0%","0.0%","0.0%","0.3%","2.1%","0.4%","0.3%","0.1%","0.1%","0.2%","0.5%","0.5%","0.1%","N","N","N","N","1.6%","2.3%","0.7%","0.6%","0.4%","0.1%","","1,881,503","90.4%","5.7%","1.9%","2.5%","0.2%","1.9%","","1,881,503","10.1%","7.7%","0.2%","0.3%","1.9%","89.9%","80.4%","4.6%","0.7%","2.1%","0.0%","0.1%","2.0%","0.1%","1.9%","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,839,099","1,426,744","1,412,355","175,735","190,890","184,490","178,812","189,574","405,679","383,515","384,352","180,100","165,438","250,188","113,894","36,432","37.4","2,176,568","2,070,933","495,700","400,514","2,176,568","1,087,062","1,089,506","400,514","189,081","211,433","","2,839,099","2,713,951","125,148","2,713,951","1,931,264","242,994","30,503","1,482","589","1,414","303","221,841","12,464","33,328","117,614","10,502","14,649","10,962","22,322","18,553","8,092","3,434","4,044","2,983","268,796","125,148","24,441","14,423","33,354","3,836","","2,839,099","2,029,269","283,045","53,857","280,878","38,635","290,275","","2,839,099","790,038","611,592","22,496","25,757","130,193","2,049,061","1,457,400","231,626","25,142","217,722","17,860","5,175","94,136","2,613","91,523","1,198,969"
"    Percent","","2,839,099","50.3%","49.7%","6.2%","6.7%","6.5%","6.3%","6.7%","14.3%","13.5%","13.5%","6.3%","5.8%","8.8%","4.0%","1.3%","(X)","76.7%","72.9%","17.5%","14.1%","2,176,568","49.9%","50.1%","400,514","47.2%","52.8%","","2,839,099","95.6%","4.4%","95.6%","68.0%","8.6%","1.1%","0.1%","0.0%","0.0%","0.0%","7.8%","0.4%","1.2%","4.1%","0.4%","0.5%","0.4%","0.8%","0.7%","0.3%","0.1%","0.1%","0.1%","9.5%","4.4%","0.9%","0.5%","1.2%","0.1%","","2,839,099","71.5%","10.0%","1.9%","9.9%","1.4%","10.2%","","2,839,099","27.8%","21.5%","0.8%","0.9%","4.6%","72.2%","51.3%","8.2%","0.9%","7.7%","0.6%","0.2%","3.3%","0.1%","3.2%","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,326,813","654,814","671,999","65,082","73,213","77,330","92,526","87,358","154,599","159,569","209,620","104,163","93,906","122,851","59,075","27,521","42.5","1,059,527","1,000,487","262,155","209,447","1,059,527","518,557","540,970","209,447","94,647","114,800","","1,326,813","1,299,421","27,392","1,299,421","1,239,410","17,009","2,339","N","N","N","N","33,974","11,298","6,867","2,382","763","2,108","2,792","7,764","437","N","N","N","N","6,252","27,392","7,195","7,542","5,258","105","","1,326,813","1,264,553","26,510","11,043","41,187","2,171","10,756","","1,326,813","42,452","10,497","11,530","1,550","18,875","1,284,361","1,209,818","15,418","2,132","33,689","437","1,027","21,840","686","21,154","619,865"
"    Percent","","1,326,813","49.4%","50.6%","4.9%","5.5%","5.8%","7.0%","6.6%","11.7%","12.0%","15.8%","7.9%","7.1%","9.3%","4.5%","2.1%","(X)","79.9%","75.4%","19.8%","15.8%","1,059,527","48.9%","51.1%","209,447","45.2%","54.8%","","1,326,813","97.9%","2.1%","97.9%","93.4%","1.3%","0.2%","N","N","N","N","2.6%","0.9%","0.5%","0.2%","0.1%","0.2%","0.2%","0.6%","0.0%","N","N","N","N","0.5%","2.1%","0.5%","0.6%","0.4%","0.0%","","1,326,813","95.3%","2.0%","0.8%","3.1%","0.2%","0.8%","","1,326,813","3.2%","0.8%","0.9%","0.1%","1.4%","96.8%","91.2%","1.2%","0.2%","2.5%","0.0%","0.1%","1.6%","0.1%","1.6%","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,938,175","4,363,391","4,574,784","532,168","550,988","572,973","577,673","576,442","1,147,338","1,177,266","1,336,370","623,355","531,477","729,520","388,617","193,988","39.4","6,925,978","6,591,149","1,618,686","1,312,125","6,925,978","3,335,466","3,590,512","1,312,125","557,485","754,640","","8,938,175","8,732,267","205,908","8,732,267","6,053,656","1,212,054","15,270","N","N","N","N","827,493","344,166","158,643","118,582","12,155","107,988","24,722","61,237","2,595","998","780","121","696","621,199","205,908","59,159","17,497","42,783","8,642","","8,938,175","6,211,213","1,312,644","54,381","896,533","11,251","674,112","","8,938,175","1,729,172","252,206","468,200","92,810","915,956","7,209,003","5,059,967","1,145,128","9,792","823,584","2,294","36,607","131,631","12,081","119,550","3,591,847"
"    Percent","","8,938,175","48.8%","51.2%","6.0%","6.2%","6.4%","6.5%","6.4%","12.8%","13.2%","15.0%","7.0%","5.9%","8.2%","4.3%","2.2%","(X)","77.5%","73.7%","18.1%","14.7%","6,925,978","48.2%","51.8%","1,312,125","42.5%","57.5%","","8,938,175","97.7%","2.3%","97.7%","67.7%","13.6%","0.2%","N","N","N","N","9.3%","3.9%","1.8%","1.3%","0.1%","1.2%","0.3%","0.7%","0.0%","0.0%","0.0%","0.0%","0.0%","6.9%","2.3%","0.7%","0.2%","0.5%","0.1%","","8,938,175","69.5%","14.7%","0.6%","10.0%","0.1%","7.5%","","8,938,175","19.3%","2.8%","5.2%","1.0%","10.2%","80.7%","56.6%","12.8%","0.1%","9.2%","0.0%","0.4%","1.5%","0.1%","1.3%","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,085,572","1,032,779","1,052,793","135,416","141,918","140,384","142,847","151,185","276,256","245,560","264,028","138,840","131,052","185,824","99,182","33,080","37.2","1,585,494","1,493,936","394,562","318,086","1,585,494","778,144","807,350","318,086","144,556","173,530","","2,085,572","2,022,164","63,408","2,022,164","1,525,459","41,277","198,450","823","545","116,822","598","31,566","4,077","8,187","7,133","1,553","2,676","2,723","5,217","592","N","N","N","N","224,820","63,408","7,115","13,341","9,036","973","","2,085,572","1,572,325","53,302","217,607","52,720","1,833","254,885","","2,085,572","994,154","670,535","10,194","3,524","309,901","1,091,418","807,748","38,178","184,866","29,579","369","4,788","25,890","922","24,968","912,910"
"    Percent","","2,085,572","49.5%","50.5%","6.5%","6.8%","6.7%","6.8%","7.2%","13.2%","11.8%","12.7%","6.7%","6.3%","8.9%","4.8%","1.6%","(X)","76.0%","71.6%","18.9%","15.3%","1,585,494","49.1%","50.9%","318,086","45.4%","54.6%","","2,085,572","97.0%","3.0%","97.0%","73.1%","2.0%","9.5%","0.0%","0.0%","5.6%","0.0%","1.5%","0.2%","0.4%","0.3%","0.1%","0.1%","0.1%","0.3%","0.0%","N","N","N","N","10.8%","3.0%","0.3%","0.6%","0.4%","0.0%","","2,085,572","75.4%","2.6%","10.4%","2.5%","0.1%","12.2%","","2,085,572","47.7%","32.2%","0.5%","0.2%","14.9%","52.3%","38.7%","1.8%","8.9%","1.4%","0.0%","0.2%","1.2%","0.0%","1.2%","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,746,227","9,574,309","10,171,918","1,182,292","1,150,159","1,165,704","1,268,372","1,440,088","2,845,848","2,507,726","2,787,279","1,344,670","1,158,409","1,603,731","867,140","424,809","38.2","15,520,954","14,685,995","3,562,878","2,895,680","15,520,954","7,417,983","8,102,971","2,895,680","1,224,971","1,670,709","","19,746,227","19,173,809","572,418","19,173,809","12,634,312","3,093,476","81,512","5,120","1,154","512","222","1,613,255","365,667","687,747","113,561","37,677","120,935","26,831","260,837","4,574","1,106","826","318","2,324","1,746,680","572,418","156,139","62,515","104,794","28,148","","19,746,227","13,073,577","3,380,875","217,940","1,779,926","23,803","1,900,131","","19,746,227","3,670,289","494,290","1,095,858","69,566","2,010,575","16,075,938","11,122,385","2,850,956","47,372","1,600,915","3,235","100,191","350,884","33,905","316,979","8,191,528"
"    Percent","","19,746,227","48.5%","51.5%","6.0%","5.8%","5.9%","6.4%","7.3%","14.4%","12.7%","14.1%","6.8%","5.9%","8.1%","4.4%","2.2%","(X)","78.6%","74.4%","18.0%","14.7%","15,520,954","47.8%","52.2%","2,895,680","42.3%","57.7%","","19,746,227","97.1%","2.9%","97.1%","64.0%","15.7%","0.4%","0.0%","0.0%","0.0%","0.0%","8.2%","1.9%","3.5%","0.6%","0.2%","0.6%","0.1%","1.3%","0.0%","0.0%","0.0%","0.0%","0.0%","8.8%","2.9%","0.8%","0.3%","0.5%","0.1%","","19,746,227","66.2%","17.1%","1.1%","9.0%","0.1%","9.6%","","19,746,227","18.6%","2.5%","5.5%","0.4%","10.2%","81.4%","56.3%","14.4%","0.2%","8.1%","0.0%","0.5%","1.8%","0.2%","1.6%","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,943,964","4,842,403","5,101,561","601,542","652,369","660,080","663,438","704,598","1,279,666","1,320,250","1,362,793","664,030","574,049","869,336","427,482","164,331","38.3","7,653,396","7,213,484","1,789,556","1,461,149","7,653,396","3,670,458","3,982,938","1,461,149","634,249","826,900","","9,943,964","9,709,610","234,354","9,709,610","6,869,207","2,154,387","111,276","15,949","310","574","817","246,721","72,267","46,095","23,701","5,297","20,116","27,217","52,028","5,768","964","1,292","901","2,611","322,251","234,354","89,984","38,752","34,446","11,896","","9,943,964","7,071,372","2,284,464","178,543","297,715","13,957","354,100","","9,943,964","890,601","545,340","89,212","19,146","236,903","9,053,363","6,359,485","2,124,971","105,548","245,542","5,185","22,434","190,198","5,414","184,784","4,452,464"
"    Percent","","9,943,964","48.7%","51.3%","6.0%","6.6%","6.6%","6.7%","7.1%","12.9%","13.3%","13.7%","6.7%","5.8%","8.7%","4.3%","1.7%","(X)","77.0%","72.5%","18.0%","14.7%","7,653,396","48.0%","52.0%","1,461,149","43.4%","56.6%","","9,943,964","97.6%","2.4%","97.6%","69.1%","21.7%","1.1%","0.2%","0.0%","0.0%","0.0%","2.5%","0.7%","0.5%","0.2%","0.1%","0.2%","0.3%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","3.2%","2.4%","0.9%","0.4%","0.3%","0.1%","","9,943,964","71.1%","23.0%","1.8%","3.0%","0.1%","3.6%","","9,943,964","9.0%","5.5%","0.9%","0.2%","2.4%","91.0%","64.0%","21.4%","1.1%","2.5%","0.1%","0.2%","1.9%","0.1%","1.9%","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","739,482","376,324","363,158","49,977","49,515","41,953","50,851","68,336","107,993","82,197","91,263","49,974","42,744","54,250","33,079","17,350","35.1","571,956","536,624","129,752","104,679","571,956","291,833","280,123","104,679","47,346","57,333","","739,482","722,706","16,776","722,706","654,375","14,910","39,669","667","14,684","349","10,857","8,899","1,731","1,613","1,042","319","1,008","287","2,899","173","N","N","N","N","4,680","16,776","1,576","10,050","2,087","649","","739,482","669,224","18,357","51,139","11,914","978","5,691","","739,482","20,618","14,083","1,584","273","4,678","718,864","641,678","14,834","39,122","8,784","88","251","14,107","274","13,833","350,534"
"    Percent","","739,482","50.9%","49.1%","6.8%","6.7%","5.7%","6.9%","9.2%","14.6%","11.1%","12.3%","6.8%","5.8%","7.3%","4.5%","2.3%","(X)","77.3%","72.6%","17.5%","14.2%","571,956","51.0%","49.0%","104,679","45.2%","54.8%","","739,482","97.7%","2.3%","97.7%","88.5%","2.0%","5.4%","0.1%","2.0%","0.0%","1.5%","1.2%","0.2%","0.2%","0.1%","0.0%","0.1%","0.0%","0.4%","0.0%","N","N","N","N","0.6%","2.3%","0.2%","1.4%","0.3%","0.1%","","739,482","90.5%","2.5%","6.9%","1.6%","0.1%","0.8%","","739,482","2.8%","1.9%","0.2%","0.0%","0.6%","97.2%","86.8%","2.0%","5.3%","1.2%","0.0%","0.0%","1.9%","0.0%","1.9%","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","11,594,163","5,676,586","5,917,577","689,435","735,994","746,139","782,017","783,118","1,467,370","1,418,006","1,598,371","847,619","729,226","1,003,669","544,620","248,579","39.4","8,958,523","8,474,781","2,215,015","1,796,868","8,958,523","4,325,168","4,633,355","1,796,868","777,731","1,019,137","","11,594,163","11,296,288","297,875","11,296,288","9,522,264","1,419,214","22,761","5,034","784","221","904","225,438","74,678","55,819","14,965","11,134","14,240","14,698","39,904","3,223","1,123","199","290","1,611","103,388","297,875","144,160","46,826","42,016","9,460","","11,594,163","9,796,575","1,596,867","95,887","280,265","10,172","134,957","","11,594,163","398,706","190,835","108,174","8,544","91,153","11,195,457","9,277,608","1,402,190","16,856","223,984","3,026","14,657","257,136","6,878","250,258","5,147,282"
"    Percent","","11,594,163","49.0%","51.0%","5.9%","6.3%","6.4%","6.7%","6.8%","12.7%","12.2%","13.8%","7.3%","6.3%","8.7%","4.7%","2.1%","(X)","77.3%","73.1%","19.1%","15.5%","8,958,523","48.3%","51.7%","1,796,868","43.3%","56.7%","","11,594,163","97.4%","2.6%","97.4%","82.1%","12.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.9%","0.6%","0.5%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.9%","2.6%","1.2%","0.4%","0.4%","0.1%","","11,594,163","84.5%","13.8%","0.8%","2.4%","0.1%","1.2%","","11,594,163","3.4%","1.6%","0.9%","0.1%","0.8%","96.6%","80.0%","12.1%","0.1%","1.9%","0.0%","0.1%","2.2%","0.1%","2.2%","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,878,051","1,920,562","1,957,489","263,798","274,653","258,860","267,064","283,791","527,616","476,104","490,295","252,984","221,318","322,929","172,176","66,463","36.2","2,925,758","2,755,526","688,361","561,568","2,925,758","1,430,242","1,495,516","561,568","248,744","312,824","","3,878,051","3,580,103","297,948","3,580,103","2,827,481","287,254","289,732","112,240","40","902","1,362","76,654","12,047","10,165","6,645","2,571","3,591","22,623","19,012","4,995","1,443","1,343","330","1,879","93,987","297,948","32,047","198,859","14,996","18,511","","3,878,051","3,098,252","351,334","523,396","97,472","7,687","111,742","","3,878,051","378,879","311,779","16,815","3,430","46,855","3,499,172","2,597,146","281,252","276,829","75,854","4,436","1,856","261,799","1,776","260,023","1,699,556"
"    Percent","","3,878,051","49.5%","50.5%","6.8%","7.1%","6.7%","6.9%","7.3%","13.6%","12.3%","12.6%","6.5%","5.7%","8.3%","4.4%","1.7%","(X)","75.4%","71.1%","17.8%","14.5%","2,925,758","48.9%","51.1%","561,568","44.3%","55.7%","","3,878,051","92.3%","7.7%","92.3%","72.9%","7.4%","7.5%","2.9%","0.0%","0.0%","0.0%","2.0%","0.3%","0.3%","0.2%","0.1%","0.1%","0.6%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.4%","7.7%","0.8%","5.1%","0.4%","0.5%","","3,878,051","79.9%","9.1%","13.5%","2.5%","0.2%","2.9%","","3,878,051","9.8%","8.0%","0.4%","0.1%","1.2%","90.2%","67.0%","7.3%","7.1%","2.0%","0.1%","0.0%","6.8%","0.0%","6.7%","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,970,239","1,964,293","2,005,946","226,468","240,670","245,007","245,358","265,779","540,740","521,875","507,808","268,978","273,330","376,017","173,033","85,176","39.3","3,111,524","2,954,371","794,596","634,226","3,111,524","1,524,999","1,586,525","634,226","287,658","346,568","","3,970,239","3,791,559","178,680","3,791,559","3,358,250","71,042","46,761","3,949","2,152","478","1,247","159,891","20,115","36,349","17,560","12,958","14,519","28,312","30,078","14,113","4,092","1,599","1,341","7,081","141,502","178,680","24,628","63,232","39,953","2,549","","3,970,239","3,517,452","107,034","126,944","218,533","32,537","162,947","","3,970,239","496,791","430,338","9,776","3,835","52,842","3,473,448","3,052,407","68,775","35,628","157,528","13,483","5,872","139,755","1,997","137,758","1,700,611"
"    Percent","","3,970,239","49.5%","50.5%","5.7%","6.1%","6.2%","6.2%","6.7%","13.6%","13.1%","12.8%","6.8%","6.9%","9.5%","4.4%","2.1%","(X)","78.4%","74.4%","20.0%","16.0%","3,111,524","49.0%","51.0%","634,226","45.4%","54.6%","","3,970,239","95.5%","4.5%","95.5%","84.6%","1.8%","1.2%","0.1%","0.1%","0.0%","0.0%","4.0%","0.5%","0.9%","0.4%","0.3%","0.4%","0.7%","0.8%","0.4%","0.1%","0.0%","0.0%","0.2%","3.6%","4.5%","0.6%","1.6%","1.0%","0.1%","","3,970,239","88.6%","2.7%","3.2%","5.5%","0.8%","4.1%","","3,970,239","12.5%","10.8%","0.2%","0.1%","1.3%","87.5%","76.9%","1.7%","0.9%","4.0%","0.3%","0.1%","3.5%","0.1%","3.5%","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
