"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","3,850,568","49.5%","50.5%","6.8%","7.1%","6.8%","6.8%","7.4%","13.6%","12.3%","12.8%","6.6%","5.5%","8.1%","4.4%","1.7%","(X)","75.4%","70.9%","17.5%","14.2%","2,902,736","48.9%","51.1%","547,927","44.3%","55.7%","","3,850,568","92.5%","7.5%","92.5%","73.1%","7.2%","7.5%","2.8%","0.0%","0.0%","0.0%","1.9%","0.3%","0.3%","0.2%","0.1%","0.2%","0.5%","0.4%","0.1%","0.0%","0.0%","0.0%","0.1%","2.7%","7.5%","0.8%","4.9%","0.4%","0.5%","","3,850,568","79.9%","8.9%","13.3%","2.4%","0.3%","3.1%","","3,850,568","9.6%","8.0%","0.3%","0.0%","1.2%","90.4%","67.4%","7.1%","7.2%","1.8%","0.1%","0.1%","6.6%","0.1%","6.6%","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,930,065","1,946,196","1,983,869","228,403","242,753","239,750","250,980","264,136","534,850","514,966","512,733","274,340","262,558","351,758","171,261","81,577","39.1","3,070,537","2,913,935","755,686","604,596","3,070,537","1,503,938","1,566,599","604,596","273,968","330,628","","3,930,065","3,764,285","165,780","3,764,285","3,370,391","72,655","43,202","2,728","1,298","244","1,718","152,271","17,321","32,478","17,790","14,653","15,582","28,357","26,090","14,038","4,785","979","1,692","6,582","111,728","165,780","20,616","58,749","41,033","3,198","","3,930,065","3,521,410","106,605","115,952","210,876","28,965","130,900","","3,930,065","483,761","418,850","12,103","4,204","48,604","3,446,304","3,039,839","67,906","33,392","150,484","13,733","4,410","136,540","1,905","134,635","1,684,107"
"    Percent","","3,930,065","49.5%","50.5%","5.8%","6.2%","6.1%","6.4%","6.7%","13.6%","13.1%","13.0%","7.0%","6.7%","9.0%","4.4%","2.1%","(X)","78.1%","74.1%","19.2%","15.4%","3,070,537","49.0%","51.0%","604,596","45.3%","54.7%","","3,930,065","95.8%","4.2%","95.8%","85.8%","1.8%","1.1%","0.1%","0.0%","0.0%","0.0%","3.9%","0.4%","0.8%","0.5%","0.4%","0.4%","0.7%","0.7%","0.4%","0.1%","0.0%","0.0%","0.2%","2.8%","4.2%","0.5%","1.5%","1.0%","0.1%","","3,930,065","89.6%","2.7%","3.0%","5.4%","0.7%","3.3%","","3,930,065","12.3%","10.7%","0.3%","0.1%","1.2%","87.7%","77.3%","1.7%","0.8%","3.8%","0.3%","0.1%","3.5%","0.0%","3.4%","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,773,801","6,243,308","6,530,493","714,568","756,289","763,239","853,684","876,511","1,600,329","1,536,491","1,840,649","932,831","809,238","1,109,434","660,982","319,556","40.6","10,057,548","9,492,465","2,552,873","2,089,972","10,057,548","4,853,526","5,204,022","2,089,972","895,678","1,194,294","","12,773,801","12,510,693","263,108","12,510,693","10,427,694","1,409,021","22,855","1,964","386","582","1,125","384,783","106,346","104,573","26,265","6,042","41,913","42,310","57,334","2,241","809","116","643","673","264,099","263,108","112,133","36,101","38,791","11,536","","12,773,801","10,654,728","1,561,655","88,278","439,900","14,166","300,487","","12,773,801","808,147","143,038","418,792","17,995","228,322","11,965,654","9,994,679","1,354,237","14,036","381,204","919","17,944","202,635","8,007","194,628","5,565,354"
"    Percent","","12,773,801","48.9%","51.1%","5.6%","5.9%","6.0%","6.7%","6.9%","12.5%","12.0%","14.4%","7.3%","6.3%","8.7%","5.2%","2.5%","(X)","78.7%","74.3%","20.0%","16.4%","10,057,548","48.3%","51.7%","2,089,972","42.9%","57.1%","","12,773,801","97.9%","2.1%","97.9%","81.6%","11.0%","0.2%","0.0%","0.0%","0.0%","0.0%","3.0%","0.8%","0.8%","0.2%","0.0%","0.3%","0.3%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","2.1%","2.1%","0.9%","0.3%","0.3%","0.1%","","12,773,801","83.4%","12.2%","0.7%","3.4%","0.1%","2.4%","","12,773,801","6.3%","1.1%","3.3%","0.1%","1.8%","93.7%","78.2%","10.6%","0.1%","3.0%","0.0%","0.1%","1.6%","0.1%","1.5%","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,051,511","512,999","538,512","54,201","57,148","62,970","73,871","83,365","134,876","126,983","155,074","75,212","64,947","86,172","45,473","31,219","39.9","838,664","785,242","200,646","162,864","838,664","402,131","436,533","162,864","68,895","93,969","","1,051,511","1,024,609","26,902","1,024,609","846,102","67,541","4,136","N","N","N","N","33,240","3,376","8,426","3,005","1,305","1,211","1,566","14,351","531","N","N","N","N","73,059","26,902","9,033","2,505","5,445","1,766","","1,051,511","867,478","81,703","9,930","40,345","2,406","78,093","","1,051,511","142,853","9,093","34,755","1,742","97,263","908,658","784,547","55,745","3,658","32,706","457","9,724","21,821","1,890","19,931","461,658"
"    Percent","","1,051,511","48.8%","51.2%","5.2%","5.4%","6.0%","7.0%","7.9%","12.8%","12.1%","14.7%","7.2%","6.2%","8.2%","4.3%","3.0%","(X)","79.8%","74.7%","19.1%","15.5%","838,664","47.9%","52.1%","162,864","42.3%","57.7%","","1,051,511","97.4%","2.6%","97.4%","80.5%","6.4%","0.4%","N","N","N","N","3.2%","0.3%","0.8%","0.3%","0.1%","0.1%","0.1%","1.4%","0.1%","N","N","N","N","6.9%","2.6%","0.9%","0.2%","0.5%","0.2%","","1,051,511","82.5%","7.8%","0.9%","3.8%","0.2%","7.4%","","1,051,511","13.6%","0.9%","3.3%","0.2%","9.2%","86.4%","74.6%","5.3%","0.3%","3.1%","0.0%","0.9%","2.1%","0.2%","1.9%","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,774,839","2,321,179","2,453,660","293,643","314,315","294,133","323,240","350,692","607,844","594,855","651,143","322,072","297,795","439,093","209,220","76,794","38.6","3,695,519","3,476,083","899,247","725,107","3,695,519","1,772,284","1,923,235","725,107","319,000","406,107","","4,774,839","4,684,091","90,748","4,684,091","3,209,900","1,320,131","14,297","3,826","155","72","415","65,048","13,509","16,095","9,192","1,722","7,243","5,857","11,430","3,137","534","749","46","1,808","71,578","90,748","34,365","17,472","13,638","5,157","","4,774,839","3,286,933","1,369,363","40,496","84,373","5,646","84,187","","4,774,839","253,360","146,207","30,294","4,726","72,133","4,521,479","3,047,248","1,311,413","13,777","64,514","2,939","4,466","77,122","2,898","74,224","2,158,784"
"    Percent","","4,774,839","48.6%","51.4%","6.1%","6.6%","6.2%","6.8%","7.3%","12.7%","12.5%","13.6%","6.7%","6.2%","9.2%","4.4%","1.6%","(X)","77.4%","72.8%","18.8%","15.2%","3,695,519","48.0%","52.0%","725,107","44.0%","56.0%","","4,774,839","98.1%","1.9%","98.1%","67.2%","27.6%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.3%","0.3%","0.2%","0.0%","0.2%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.5%","1.9%","0.7%","0.4%","0.3%","0.1%","","4,774,839","68.8%","28.7%","0.8%","1.8%","0.1%","1.8%","","4,774,839","5.3%","3.1%","0.6%","0.1%","1.5%","94.7%","63.8%","27.5%","0.3%","1.4%","0.1%","0.1%","1.6%","0.1%","1.6%","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","844,877","424,160","420,717","58,617","61,782","55,667","56,582","61,270","110,717","96,760","109,277","56,513","53,189","64,666","40,746","19,091","36.6","636,396","600,050","153,977","124,503","636,396","317,110","319,286","124,503","55,766","68,737","","844,877","820,340","24,537","820,340","719,112","13,001","71,981","141","1,124","223","60,952","9,105","534","1,663","391","56","863","709","4,889","420","N","N","N","N","6,721","24,537","3,071","14,901","1,997","692","","844,877","741,992","18,214","88,615","12,149","1,184","8,332","","844,877","27,186","19,119","1,021","545","6,501","817,691","705,020","12,696","69,313","9,105","420","122","21,015","254","20,761","370,207"
"    Percent","","844,877","50.2%","49.8%","6.9%","7.3%","6.6%","6.7%","7.3%","13.1%","11.5%","12.9%","6.7%","6.3%","7.7%","4.8%","2.3%","(X)","75.3%","71.0%","18.2%","14.7%","636,396","49.8%","50.2%","124,503","44.8%","55.2%","","844,877","97.1%","2.9%","97.1%","85.1%","1.5%","8.5%","0.0%","0.1%","0.0%","7.2%","1.1%","0.1%","0.2%","0.0%","0.0%","0.1%","0.1%","0.6%","0.0%","N","N","N","N","0.8%","2.9%","0.4%","1.8%","0.2%","0.1%","","844,877","87.8%","2.2%","10.5%","1.4%","0.1%","1.0%","","844,877","3.2%","2.3%","0.1%","0.1%","0.8%","96.8%","83.4%","1.5%","8.2%","1.1%","0.0%","0.0%","2.5%","0.0%","2.5%","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,495,978","3,174,148","3,321,830","397,208","420,886","422,756","425,892","459,201","842,934","846,939","895,569","438,358","396,045","561,481","284,291","104,418","38.5","5,003,897","4,735,748","1,185,135","950,190","5,003,897","2,407,490","2,596,407","950,190","415,575","534,615","","6,495,978","6,372,755","123,223","6,372,755","5,060,129","1,102,455","16,101","N","N","N","N","98,746","25,682","18,117","9,255","3,363","10,191","13,569","18,569","2,990","675","501","915","899","92,334","123,223","48,851","30,624","17,349","4,249","","6,495,978","5,174,672","1,163,293","55,831","121,337","6,743","104,933","","6,495,978","309,224","204,463","21,598","10,818","72,345","6,186,754","4,862,093","1,095,847","14,023","98,505","2,319","6,743","107,224","2,461","104,763","2,840,998"
"    Percent","","6,495,978","48.9%","51.1%","6.1%","6.5%","6.5%","6.6%","7.1%","13.0%","13.0%","13.8%","6.7%","6.1%","8.6%","4.4%","1.6%","(X)","77.0%","72.9%","18.2%","14.6%","5,003,897","48.1%","51.9%","950,190","43.7%","56.3%","","6,495,978","98.1%","1.9%","98.1%","77.9%","17.0%","0.2%","N","N","N","N","1.5%","0.4%","0.3%","0.1%","0.1%","0.2%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","1.9%","0.8%","0.5%","0.3%","0.1%","","6,495,978","79.7%","17.9%","0.9%","1.9%","0.1%","1.6%","","6,495,978","4.8%","3.1%","0.3%","0.2%","1.1%","95.2%","74.8%","16.9%","0.2%","1.5%","0.0%","0.1%","1.7%","0.0%","1.6%","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","26,448,193","13,145,494","13,302,699","1,926,498","2,005,798","1,968,632","1,916,526","1,957,083","3,804,859","3,590,709","3,440,186","1,572,076","1,299,299","1,744,740","884,993","336,794","34.0","19,407,275","18,216,608","3,702,583","2,966,527","19,407,275","9,541,917","9,865,358","2,966,527","1,311,549","1,654,978","","26,448,193","25,801,309","646,884","25,801,309","19,840,367","3,142,866","118,862","14,185","902","1,995","1,705","1,089,907","295,107","187,257","123,146","18,990","66,252","223,937","175,218","19,892","7,243","5,569","2,192","4,888","1,589,415","646,884","160,324","141,122","106,206","24,448","","26,448,193","20,390,376","3,387,339","317,675","1,257,835","46,497","1,744,503","","26,448,193","10,154,405","8,892,092","157,011","55,351","1,049,951","16,293,788","11,623,414","3,068,699","58,957","1,078,387","17,577","33,373","413,381","25,416","387,965","10,256,203"
"    Percent","","26,448,193","49.7%","50.3%","7.3%","7.6%","7.4%","7.2%","7.4%","14.4%","13.6%","13.0%","5.9%","4.9%","6.6%","3.3%","1.3%","(X)","73.4%","68.9%","14.0%","11.2%","19,407,275","49.2%","50.8%","2,966,527","44.2%","55.8%","","26,448,193","97.6%","2.4%","97.6%","75.0%","11.9%","0.4%","0.1%","0.0%","0.0%","0.0%","4.1%","1.1%","0.7%","0.5%","0.1%","0.3%","0.8%","0.7%","0.1%","0.0%","0.0%","0.0%","0.0%","6.0%","2.4%","0.6%","0.5%","0.4%","0.1%","","26,448,193","77.1%","12.8%","1.2%","4.8%","0.2%","6.6%","","26,448,193","38.4%","33.6%","0.6%","0.2%","4.0%","61.6%","43.9%","11.6%","0.2%","4.1%","0.1%","0.1%","1.6%","0.1%","1.5%","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,900,872","1,458,758","1,442,114","253,409","255,877","250,050","226,177","244,910","439,707","373,367","304,801","145,806","124,088","163,236","85,314","34,130","30.2","2,004,041","1,872,419","353,212","282,680","2,004,041","997,107","1,006,934","282,680","129,891","152,789","","2,900,872","2,830,402","70,470","2,830,402","2,534,534","32,754","33,325","715","5","15,641","963","62,671","7,509","15,131","5,544","7,239","6,186","7,450","13,612","27,513","2,152","93","9,581","15,687","139,605","70,470","10,199","10,906","19,593","130","","2,900,872","2,598,469","46,483","47,112","90,338","39,208","155,656","","2,900,872","387,569","285,894","8,413","2,334","90,928","2,513,303","2,306,939","30,363","30,968","62,165","27,215","5,273","50,380","1,447","48,933","1,006,164"
"    Percent","","2,900,872","50.3%","49.7%","8.7%","8.8%","8.6%","7.8%","8.4%","15.2%","12.9%","10.5%","5.0%","4.3%","5.6%","2.9%","1.2%","(X)","69.1%","64.5%","12.2%","9.7%","2,004,041","49.8%","50.2%","282,680","45.9%","54.1%","","2,900,872","97.6%","2.4%","97.6%","87.4%","1.1%","1.1%","0.0%","0.0%","0.5%","0.0%","2.2%","0.3%","0.5%","0.2%","0.2%","0.2%","0.3%","0.5%","0.9%","0.1%","0.0%","0.3%","0.5%","4.8%","2.4%","0.4%","0.4%","0.7%","0.0%","","2,900,872","89.6%","1.6%","1.6%","3.1%","1.4%","5.4%","","2,900,872","13.4%","9.9%","0.3%","0.1%","3.1%","86.6%","79.5%","1.0%","1.1%","2.1%","0.9%","0.2%","1.7%","0.0%","1.7%","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","626,630","308,672","317,958","30,306","35,599","34,774","43,781","45,996","70,428","72,690","95,060","49,186","46,152","59,880","29,852","12,926","42.5","502,500","472,277","129,158","102,658","502,500","244,834","257,666","102,658","46,685","55,973","","626,630","613,406","13,224","613,406","595,148","7,184","1,579","N","N","N","N","7,640","1,214","2,047","1,183","276","855","938","1,127","222","N","N","N","N","1,633","13,224","3,345","4,852","3,339","176","","626,630","607,707","11,308","7,303","11,449","485","2,260","","626,630","9,546","3,110","2,128","265","4,043","617,084","588,831","6,861","1,571","7,625","38","313","11,845","195","11,650","323,936"
"    Percent","","626,630","49.3%","50.7%","4.8%","5.7%","5.5%","7.0%","7.3%","11.2%","11.6%","15.2%","7.8%","7.4%","9.6%","4.8%","2.1%","(X)","80.2%","75.4%","20.6%","16.4%","502,500","48.7%","51.3%","102,658","45.5%","54.5%","","626,630","97.9%","2.1%","97.9%","95.0%","1.1%","0.3%","N","N","N","N","1.2%","0.2%","0.3%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.3%","2.1%","0.5%","0.8%","0.5%","0.0%","","626,630","97.0%","1.8%","1.2%","1.8%","0.1%","0.4%","","626,630","1.5%","0.5%","0.3%","0.0%","0.6%","98.5%","94.0%","1.1%","0.3%","1.2%","0.0%","0.0%","1.9%","0.0%","1.9%","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,260,405","4,060,533","4,199,872","509,604","523,654","519,180","551,674","595,069","1,152,347","1,098,291","1,183,017","553,266","469,494","651,180","319,237","134,392","37.6","6,396,074","6,037,733","1,382,953","1,104,809","6,396,074","3,110,547","3,285,527","1,104,809","485,042","619,767","","8,260,405","7,991,894","268,511","7,991,894","5,726,886","1,592,426","19,615","3,078","314","159","468","484,497","109,142","67,871","74,189","10,378","69,969","60,298","92,650","5,808","2,376","2,529","564","339","162,662","268,511","88,015","31,844","74,406","11,932","","8,260,405","5,958,033","1,723,083","77,340","586,801","17,495","189,701","","8,260,405","707,962","178,509","83,396","21,395","424,662","7,552,443","5,246,262","1,563,768","14,577","481,270","4,935","15,271","226,360","5,782","220,578","3,412,577"
"    Percent","","8,260,405","49.2%","50.8%","6.2%","6.3%","6.3%","6.7%","7.2%","14.0%","13.3%","14.3%","6.7%","5.7%","7.9%","3.9%","1.6%","(X)","77.4%","73.1%","16.7%","13.4%","6,396,074","48.6%","51.4%","1,104,809","43.9%","56.1%","","8,260,405","96.7%","3.3%","96.7%","69.3%","19.3%","0.2%","0.0%","0.0%","0.0%","0.0%","5.9%","1.3%","0.8%","0.9%","0.1%","0.8%","0.7%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","2.0%","3.3%","1.1%","0.4%","0.9%","0.1%","","8,260,405","72.1%","20.9%","0.9%","7.1%","0.2%","2.3%","","8,260,405","8.6%","2.2%","1.0%","0.3%","5.1%","91.4%","63.5%","18.9%","0.2%","5.8%","0.1%","0.2%","2.7%","0.1%","2.7%","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,971,406","3,475,830","3,495,576","442,110","442,841","446,472","440,029","493,850","992,349","919,683","946,219","473,942","423,145","556,824","270,359","123,583","37.4","5,375,222","5,092,263","1,191,323","950,766","5,375,222","2,664,111","2,711,111","950,766","430,073","520,693","","6,971,406","6,628,247","343,159","6,628,247","5,439,705","259,337","95,193","3,338","3,648","1,396","2,616","536,093","86,538","104,914","86,915","38,730","68,027","77,471","73,498","42,335","6,880","10,512","10,928","14,015","255,584","343,159","58,116","83,823","99,748","6,898","","6,971,406","5,744,515","358,255","210,161","678,167","75,252","287,080","","6,971,406","831,976","682,433","30,097","7,787","111,659","6,139,430","4,941,666","249,003","80,474","532,200","40,709","8,366","287,012","3,961","283,051","2,928,300"
"    Percent","","6,971,406","49.9%","50.1%","6.3%","6.4%","6.4%","6.3%","7.1%","14.2%","13.2%","13.6%","6.8%","6.1%","8.0%","3.9%","1.8%","(X)","77.1%","73.0%","17.1%","13.6%","5,375,222","49.6%","50.4%","950,766","45.2%","54.8%","","6,971,406","95.1%","4.9%","95.1%","78.0%","3.7%","1.4%","0.0%","0.1%","0.0%","0.0%","7.7%","1.2%","1.5%","1.2%","0.6%","1.0%","1.1%","1.1%","0.6%","0.1%","0.2%","0.2%","0.2%","3.7%","4.9%","0.8%","1.2%","1.4%","0.1%","","6,971,406","82.4%","5.1%","3.0%","9.7%","1.1%","4.1%","","6,971,406","11.9%","9.8%","0.4%","0.1%","1.6%","88.1%","70.9%","3.6%","1.2%","7.6%","0.6%","0.1%","4.1%","0.1%","4.1%","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,854,304","916,834","937,470","102,836","102,684","111,155","116,957","126,647","213,278","233,256","254,645","143,200","129,633","183,271","97,898","38,844","41.7","1,472,047","1,393,666","395,622","320,013","1,472,047","719,823","752,224","320,013","142,880","177,133","","1,854,304","1,820,385","33,919","1,820,385","1,737,683","62,788","1,842","N","N","N","N","10,455","3,110","1,793","1,146","401","1,586","1,015","1,404","1,547","N","N","N","N","6,070","33,919","12,886","12,519","3,651","1,958","","1,854,304","1,769,292","79,082","17,742","14,523","2,199","6,864","","1,854,304","26,586","13,270","4,656","917","7,743","1,827,718","1,717,430","62,059","1,632","10,306","1,547","2,375","32,369","208","32,161","879,424"
"    Percent","","1,854,304","49.4%","50.6%","5.5%","5.5%","6.0%","6.3%","6.8%","11.5%","12.6%","13.7%","7.7%","7.0%","9.9%","5.3%","2.1%","(X)","79.4%","75.2%","21.3%","17.3%","1,472,047","48.9%","51.1%","320,013","44.6%","55.4%","","1,854,304","98.2%","1.8%","98.2%","93.7%","3.4%","0.1%","N","N","N","N","0.6%","0.2%","0.1%","0.1%","0.0%","0.1%","0.1%","0.1%","0.1%","N","N","N","N","0.3%","1.8%","0.7%","0.7%","0.2%","0.1%","","1,854,304","95.4%","4.3%","1.0%","0.8%","0.1%","0.4%","","1,854,304","1.4%","0.7%","0.3%","0.0%","0.4%","98.6%","92.6%","3.3%","0.1%","0.6%","0.1%","0.1%","1.7%","0.0%","1.7%","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,742,713","2,855,502","2,887,211","341,440","363,350","376,100","385,595","396,937","733,172","696,351","832,482","415,084","353,595","462,197","259,975","126,435","39.0","4,436,791","4,193,374","1,048,958","848,607","4,436,791","2,185,301","2,251,490","848,607","377,060","471,547","","5,742,713","5,621,540","121,173","5,621,540","4,972,949","357,899","49,653","590","14,327","66","1,482","142,590","28,679","20,017","8,922","2,533","7,877","5,760","68,802","1,512","421","336","201","554","96,937","121,173","40,670","30,120","20,028","3,446","","5,742,713","5,083,260","414,759","91,937","168,376","5,195","111,603","","5,742,713","362,407","268,786","49,580","4,181","39,860","5,380,306","4,735,896","351,135","46,176","141,701","1,381","4,557","99,460","2,825","96,635","2,633,420"
"    Percent","","5,742,713","49.7%","50.3%","5.9%","6.3%","6.5%","6.7%","6.9%","12.8%","12.1%","14.5%","7.2%","6.2%","8.0%","4.5%","2.2%","(X)","77.3%","73.0%","18.3%","14.8%","4,436,791","49.3%","50.7%","848,607","44.4%","55.6%","","5,742,713","97.9%","2.1%","97.9%","86.6%","6.2%","0.9%","0.0%","0.2%","0.0%","0.0%","2.5%","0.5%","0.3%","0.2%","0.0%","0.1%","0.1%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","2.1%","0.7%","0.5%","0.3%","0.1%","","5,742,713","88.5%","7.2%","1.6%","2.9%","0.1%","1.9%","","5,742,713","6.3%","4.7%","0.9%","0.1%","0.7%","93.7%","82.5%","6.1%","0.8%","2.5%","0.0%","0.1%","1.7%","0.0%","1.7%","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
