"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","6,021,988","2,953,591","3,068,397","374,591","394,277","396,481","410,709","422,289","790,238","731,535","855,166","409,792","352,585","488,601","278,377","117,347","38.2","4,618,282","4,351,258","1,091,095","884,325","4,618,282","2,231,016","2,387,266","884,325","385,130","499,195","","6,021,988","5,879,162","142,826","5,879,162","4,981,999","691,631","28,000","9,541","1,220","433","417","102,180","21,261","26,894","12,251","2,646","10,087","15,321","13,720","4,480","1,202","398","1,338","1,542","70,872","142,826","46,631","40,778","19,479","9,397","","6,021,988","5,107,852","756,167","84,547","129,258","8,780","85,869","","6,021,988","221,519","157,158","12,904","4,988","46,469","5,800,469","4,848,758","685,914","24,778","101,081","4,480","10,174","125,284","3,510","121,774","2,720,087"
"    Percent","","6,021,988","49.0%","51.0%","6.2%","6.5%","6.6%","6.8%","7.0%","13.1%","12.1%","14.2%","6.8%","5.9%","8.1%","4.6%","1.9%","(X)","76.7%","72.3%","18.1%","14.7%","4,618,282","48.3%","51.7%","884,325","43.6%","56.4%","","6,021,988","97.6%","2.4%","97.6%","82.7%","11.5%","0.5%","0.2%","0.0%","0.0%","0.0%","1.7%","0.4%","0.4%","0.2%","0.0%","0.2%","0.3%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","2.4%","0.8%","0.7%","0.3%","0.2%","","6,021,988","84.8%","12.6%","1.4%","2.1%","0.1%","1.4%","","6,021,988","3.7%","2.6%","0.2%","0.1%","0.8%","96.3%","80.5%","11.4%","0.4%","1.7%","0.1%","0.2%","2.1%","0.1%","2.0%","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,005,141","503,458","501,683","58,839","66,172","58,443","63,205","71,712","123,950","114,594","141,267","78,529","69,845","89,772","47,342","21,471","40.2","785,001","740,863","197,124","158,585","785,001","390,656","394,345","158,585","74,585","84,000","","1,005,141","979,371","25,770","979,371","896,467","3,605","65,148","181","2,890","342","4,848","6,442","591","2,019","891","930","1,085","116","810","1,183","N","N","N","N","6,526","25,770","3,173","14,183","3,789","709","","1,005,141","921,097","8,444","81,218","11,394","2,501","8,047","","1,005,141","31,465","20,836","1,679","431","8,519","973,676","876,782","3,489","62,422","6,423","1,140","453","22,967","151","22,816","486,161"
"    Percent","","1,005,141","50.1%","49.9%","5.9%","6.6%","5.8%","6.3%","7.1%","12.3%","11.4%","14.1%","7.8%","6.9%","8.9%","4.7%","2.1%","(X)","78.1%","73.7%","19.6%","15.8%","785,001","49.8%","50.2%","158,585","47.0%","53.0%","","1,005,141","97.4%","2.6%","97.4%","89.2%","0.4%","6.5%","0.0%","0.3%","0.0%","0.5%","0.6%","0.1%","0.2%","0.1%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","0.6%","2.6%","0.3%","1.4%","0.4%","0.1%","","1,005,141","91.6%","0.8%","8.1%","1.1%","0.2%","0.8%","","1,005,141","3.1%","2.1%","0.2%","0.0%","0.8%","96.9%","87.2%","0.3%","6.2%","0.6%","0.1%","0.0%","2.3%","0.0%","2.3%","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,855,525","923,099","932,426","132,001","132,414","125,824","125,952","132,426","249,263","222,995","250,281","121,699","105,698","132,784","84,400","39,788","36.3","1,392,723","1,312,505","315,872","256,972","1,392,723","684,793","707,930","256,972","112,633","144,339","","1,855,525","1,816,904","38,621","1,816,904","1,634,952","85,483","15,818","680","50","379","4,354","36,670","6,113","5,947","2,037","1,194","2,267","10,274","8,838","1,227","N","N","N","N","42,754","38,621","13,176","10,097","6,869","454","","1,855,525","1,671,127","102,907","29,141","45,562","3,366","46,907","","1,855,525","178,884","141,913","4,393","3,270","29,308","1,676,641","1,509,066","82,713","13,662","36,372","1,149","1,689","31,990","663","31,327","804,274"
"    Percent","","1,855,525","49.7%","50.3%","7.1%","7.1%","6.8%","6.8%","7.1%","13.4%","12.0%","13.5%","6.6%","5.7%","7.2%","4.5%","2.1%","(X)","75.1%","70.7%","17.0%","13.8%","1,392,723","49.2%","50.8%","256,972","43.8%","56.2%","","1,855,525","97.9%","2.1%","97.9%","88.1%","4.6%","0.9%","0.0%","0.0%","0.0%","0.2%","2.0%","0.3%","0.3%","0.1%","0.1%","0.1%","0.6%","0.5%","0.1%","N","N","N","N","2.3%","2.1%","0.7%","0.5%","0.4%","0.0%","","1,855,525","90.1%","5.5%","1.6%","2.5%","0.2%","2.5%","","1,855,525","9.6%","7.6%","0.2%","0.2%","1.6%","90.4%","81.3%","4.5%","0.7%","2.0%","0.1%","0.1%","1.7%","0.0%","1.7%","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,758,931","1,391,864","1,367,067","182,912","186,423","185,029","175,794","188,131","394,004","380,539","375,615","177,760","153,238","221,977","103,640","33,869","36.8","2,094,509","1,990,882","449,739","359,486","2,094,509","1,049,903","1,044,606","359,486","169,640","189,846","","2,758,931","2,644,483","114,448","2,644,483","1,922,203","227,696","31,415","734","996","2,194","736","207,736","12,174","31,846","111,867","8,766","12,230","10,873","19,980","18,441","7,159","4,327","3,493","3,462","236,992","114,448","22,906","13,149","29,476","3,648","","2,758,931","2,014,131","267,298","54,843","257,625","33,164","258,059","","2,758,931","752,051","569,798","24,385","24,417","133,451","2,006,880","1,455,200","219,044","25,345","204,076","17,951","3,909","81,355","2,470","78,885","1,182,842"
"    Percent","","2,758,931","50.4%","49.6%","6.6%","6.8%","6.7%","6.4%","6.8%","14.3%","13.8%","13.6%","6.4%","5.6%","8.0%","3.8%","1.2%","(X)","75.9%","72.2%","16.3%","13.0%","2,094,509","50.1%","49.9%","359,486","47.2%","52.8%","","2,758,931","95.9%","4.1%","95.9%","69.7%","8.3%","1.1%","0.0%","0.0%","0.1%","0.0%","7.5%","0.4%","1.2%","4.1%","0.3%","0.4%","0.4%","0.7%","0.7%","0.3%","0.2%","0.1%","0.1%","8.6%","4.1%","0.8%","0.5%","1.1%","0.1%","","2,758,931","73.0%","9.7%","2.0%","9.3%","1.2%","9.4%","","2,758,931","27.3%","20.7%","0.9%","0.9%","4.8%","72.7%","52.7%","7.9%","0.9%","7.4%","0.7%","0.1%","2.9%","0.1%","2.9%","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,320,718","648,288","672,430","65,506","74,014","83,168","93,131","85,016","148,055","168,883","219,584","101,834","87,430","109,623","59,327","25,147","41.9","1,045,696","983,795","244,976","194,097","1,045,696","509,196","536,500","194,097","86,832","107,265","","1,320,718","1,296,502","24,216","1,296,502","1,241,905","16,515","2,321","N","N","N","N","29,743","8,208","7,632","1,590","751","3,035","2,245","6,282","191","N","N","N","N","5,827","24,216","5,610","7,061","5,198","313","","1,320,718","1,264,533","24,691","12,042","36,463","1,477","8,654","","1,320,718","40,138","11,695","11,589","2,010","14,844","1,280,580","1,212,389","14,610","2,179","29,604","191","1,645","19,962","409","19,553","617,005"
"    Percent","","1,320,718","49.1%","50.9%","5.0%","5.6%","6.3%","7.1%","6.4%","11.2%","12.8%","16.6%","7.7%","6.6%","8.3%","4.5%","1.9%","(X)","79.2%","74.5%","18.5%","14.7%","1,045,696","48.7%","51.3%","194,097","44.7%","55.3%","","1,320,718","98.2%","1.8%","98.2%","94.0%","1.3%","0.2%","N","N","N","N","2.3%","0.6%","0.6%","0.1%","0.1%","0.2%","0.2%","0.5%","0.0%","N","N","N","N","0.4%","1.8%","0.4%","0.5%","0.4%","0.0%","","1,320,718","95.7%","1.9%","0.9%","2.8%","0.1%","0.7%","","1,320,718","3.0%","0.9%","0.9%","0.2%","1.1%","97.0%","91.8%","1.1%","0.2%","2.2%","0.0%","0.1%","1.5%","0.0%","1.5%","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,864,590","4,321,436","4,543,154","526,587","555,966","585,184","587,914","559,587","1,128,566","1,198,565","1,367,769","592,115","512,023","672,683","392,484","185,147","39.4","6,837,852","6,492,216","1,539,140","1,250,314","6,837,852","3,287,144","3,550,708","1,250,314","526,495","723,819","","8,864,590","8,641,786","222,804","8,641,786","6,111,675","1,207,688","21,574","N","N","N","N","775,176","313,414","136,228","114,700","15,872","97,923","24,368","72,671","2,606","224","364","80","1,938","523,067","222,804","64,565","16,554","43,978","10,120","","8,864,590","6,283,790","1,317,691","63,266","844,163","11,045","586,151","","8,864,590","1,641,399","222,329","448,481","90,499","880,090","7,223,191","5,134,994","1,127,146","11,535","769,054","2,283","41,595","136,584","13,015","123,569","3,574,763"
"    Percent","","8,864,590","48.7%","51.3%","5.9%","6.3%","6.6%","6.6%","6.3%","12.7%","13.5%","15.4%","6.7%","5.8%","7.6%","4.4%","2.1%","(X)","77.1%","73.2%","17.4%","14.1%","6,837,852","48.1%","51.9%","1,250,314","42.1%","57.9%","","8,864,590","97.5%","2.5%","97.5%","68.9%","13.6%","0.2%","N","N","N","N","8.7%","3.5%","1.5%","1.3%","0.2%","1.1%","0.3%","0.8%","0.0%","0.0%","0.0%","0.0%","0.0%","5.9%","2.5%","0.7%","0.2%","0.5%","0.1%","","8,864,590","70.9%","14.9%","0.7%","9.5%","0.1%","6.6%","","8,864,590","18.5%","2.5%","5.1%","1.0%","9.9%","81.5%","57.9%","12.7%","0.1%","8.7%","0.0%","0.5%","1.5%","0.1%","1.4%","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,085,538","1,034,877","1,050,661","143,036","149,288","139,000","150,331","143,553","274,879","248,118","276,610","138,042","128,423","168,984","89,325","35,949","36.8","1,569,690","1,475,450","368,310","294,258","1,569,690","770,107","799,583","294,258","133,634","160,624","","2,085,538","2,019,839","65,699","2,019,839","1,499,853","42,843","192,903","1,879","849","114,213","597","27,714","3,161","9,029","5,786","1,894","1,298","4,694","1,852","1,431","N","N","N","N","255,095","65,699","9,835","15,791","7,849","1,534","","2,085,538","1,554,528","58,675","216,225","40,075","3,555","281,436","","2,085,538","979,724","614,620","6,703","3,834","354,567","1,105,814","827,066","37,796","180,977","26,846","1,009","3,913","28,207","1,771","26,436","906,838"
"    Percent","","2,085,538","49.6%","50.4%","6.9%","7.2%","6.7%","7.2%","6.9%","13.2%","11.9%","13.3%","6.6%","6.2%","8.1%","4.3%","1.7%","(X)","75.3%","70.7%","17.7%","14.1%","1,569,690","49.1%","50.9%","294,258","45.4%","54.6%","","2,085,538","96.8%","3.2%","96.8%","71.9%","2.1%","9.2%","0.1%","0.0%","5.5%","0.0%","1.3%","0.2%","0.4%","0.3%","0.1%","0.1%","0.2%","0.1%","0.1%","N","N","N","N","12.2%","3.2%","0.5%","0.8%","0.4%","0.1%","","2,085,538","74.5%","2.8%","10.4%","1.9%","0.2%","13.5%","","2,085,538","47.0%","29.5%","0.3%","0.2%","17.0%","53.0%","39.7%","1.8%","8.7%","1.3%","0.0%","0.2%","1.4%","0.1%","1.3%","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,570,261","9,485,872","10,084,389","1,164,322","1,143,922","1,199,048","1,314,125","1,439,083","2,755,074","2,537,255","2,840,055","1,289,901","1,128,015","1,484,408","856,999","418,054","38.1","15,309,251","14,441,968","3,415,547","2,759,461","15,309,251","7,308,076","8,001,175","2,759,461","1,155,670","1,603,791","","19,570,261","19,037,249","533,012","19,037,249","12,767,396","3,046,610","73,392","2,923","278","42","471","1,498,346","335,793","627,375","104,432","38,365","135,092","27,759","229,530","7,456","1,656","731","1,389","3,680","1,644,049","533,012","135,284","55,287","90,710","20,499","","19,570,261","13,165,776","3,301,075","187,058","1,654,819","26,086","1,814,293","","19,570,261","3,553,686","465,919","1,094,440","73,654","1,919,673","16,016,575","11,227,534","2,820,905","44,447","1,487,288","7,049","103,439","325,913","40,789","285,124","8,123,585"
"    Percent","","19,570,261","48.5%","51.5%","5.9%","5.8%","6.1%","6.7%","7.4%","14.1%","13.0%","14.5%","6.6%","5.8%","7.6%","4.4%","2.1%","(X)","78.2%","73.8%","17.5%","14.1%","15,309,251","47.7%","52.3%","2,759,461","41.9%","58.1%","","19,570,261","97.3%","2.7%","97.3%","65.2%","15.6%","0.4%","0.0%","0.0%","0.0%","0.0%","7.7%","1.7%","3.2%","0.5%","0.2%","0.7%","0.1%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","8.4%","2.7%","0.7%","0.3%","0.5%","0.1%","","19,570,261","67.3%","16.9%","1.0%","8.5%","0.1%","9.3%","","19,570,261","18.2%","2.4%","5.6%","0.4%","9.8%","81.8%","57.4%","14.4%","0.2%","7.6%","0.0%","0.5%","1.7%","0.2%","1.5%","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,752,073","4,751,047","5,001,026","611,752","651,304","648,642","660,015","690,477","1,252,143","1,330,471","1,364,023","634,385","562,161","784,044","406,040","156,616","37.8","7,468,071","7,031,229","1,677,761","1,346,700","7,468,071","3,584,761","3,883,310","1,346,700","579,487","767,213","","9,752,073","9,527,863","224,210","9,527,863","6,817,441","2,107,908","113,280","14,586","854","203","723","227,727","60,582","40,250","21,928","5,509","19,929","31,252","48,277","5,568","2,246","400","402","2,520","255,939","224,210","79,964","39,366","28,312","16,118","","9,752,073","7,003,714","2,233,164","186,442","271,751","12,036","288,699","","9,752,073","844,896","536,568","75,741","25,290","207,297","8,907,177","6,292,533","2,075,668","103,792","225,603","5,465","19,220","184,896","6,898","177,998","4,375,400"
"    Percent","","9,752,073","48.7%","51.3%","6.3%","6.7%","6.7%","6.8%","7.1%","12.8%","13.6%","14.0%","6.5%","5.8%","8.0%","4.2%","1.6%","(X)","76.6%","72.1%","17.2%","13.8%","7,468,071","48.0%","52.0%","1,346,700","43.0%","57.0%","","9,752,073","97.7%","2.3%","97.7%","69.9%","21.6%","1.2%","0.1%","0.0%","0.0%","0.0%","2.3%","0.6%","0.4%","0.2%","0.1%","0.2%","0.3%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.3%","0.8%","0.4%","0.3%","0.2%","","9,752,073","71.8%","22.9%","1.9%","2.8%","0.1%","3.0%","","9,752,073","8.7%","5.5%","0.8%","0.3%","2.1%","91.3%","64.5%","21.3%","1.1%","2.3%","0.1%","0.2%","1.9%","0.1%","1.8%","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","699,628","357,591","342,037","45,120","44,976","39,695","48,962","62,971","98,752","77,584","92,666","46,140","41,800","50,637","34,203","16,122","36.2","545,530","506,511","124,950","100,962","545,530","277,908","267,622","100,962","44,398","56,564","","699,628","685,538","14,090","685,538","626,192","10,202","37,301","385","16,112","168","10,871","6,737","1,369","2,329","668","514","222","1,099","536","1,190","N","N","N","N","3,916","14,090","3,102","6,604","1,947","449","","699,628","639,536","13,977","44,470","8,900","1,649","5,406","","699,628","16,672","11,530","1,070","317","3,755","682,956","616,194","10,066","36,404","6,737","1,190","146","12,219","83","12,136","329,249"
"    Percent","","699,628","51.1%","48.9%","6.4%","6.4%","5.7%","7.0%","9.0%","14.1%","11.1%","13.2%","6.6%","6.0%","7.2%","4.9%","2.3%","(X)","78.0%","72.4%","17.9%","14.4%","545,530","50.9%","49.1%","100,962","44.0%","56.0%","","699,628","98.0%","2.0%","98.0%","89.5%","1.5%","5.3%","0.1%","2.3%","0.0%","1.6%","1.0%","0.2%","0.3%","0.1%","0.1%","0.0%","0.2%","0.1%","0.2%","N","N","N","N","0.6%","2.0%","0.4%","0.9%","0.3%","0.1%","","699,628","91.4%","2.0%","6.4%","1.3%","0.2%","0.8%","","699,628","2.4%","1.6%","0.2%","0.0%","0.5%","97.6%","88.1%","1.4%","5.2%","1.0%","0.2%","0.0%","1.7%","0.0%","1.7%","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","11,544,225","5,642,634","5,901,591","690,055","735,013","767,329","792,974","788,138","1,430,201","1,429,099","1,671,322","816,491","716,035","928,586","533,839","245,143","39.3","8,884,300","8,391,293","2,123,285","1,707,568","8,884,300","4,281,485","4,602,815","1,707,568","732,380","975,188","","11,544,225","11,278,251","265,974","11,278,251","9,547,022","1,413,110","21,692","5,586","963","651","1,144","200,878","64,339","49,129","15,574","9,177","15,316","14,659","32,684","4,101","2,194","355","209","1,343","91,448","265,974","119,330","44,782","35,036","11,226","","11,544,225","9,786,393","1,571,492","95,344","250,368","11,908","117,124","","11,544,225","374,276","183,549","104,543","8,830","77,354","11,169,949","9,309,291","1,391,987","17,615","199,187","3,722","14,870","233,277","5,440","227,837","5,128,846"
"    Percent","","11,544,225","48.9%","51.1%","6.0%","6.4%","6.6%","6.9%","6.8%","12.4%","12.4%","14.5%","7.1%","6.2%","8.0%","4.6%","2.1%","(X)","77.0%","72.7%","18.4%","14.8%","8,884,300","48.2%","51.8%","1,707,568","42.9%","57.1%","","11,544,225","97.7%","2.3%","97.7%","82.7%","12.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.7%","0.6%","0.4%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.8%","2.3%","1.0%","0.4%","0.3%","0.1%","","11,544,225","84.8%","13.6%","0.8%","2.2%","0.1%","1.0%","","11,544,225","3.2%","1.6%","0.9%","0.1%","0.7%","96.8%","80.6%","12.1%","0.2%","1.7%","0.0%","0.1%","2.0%","0.0%","2.0%","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,814,820","1,889,807","1,925,013","262,161","265,322","260,737","258,439","280,705","516,852","467,408","506,542","249,369","211,278","303,674","165,962","66,371","36.3","2,878,536","2,710,257","660,188","536,007","2,878,536","1,410,099","1,468,437","536,007","236,164","299,843","","3,814,820","3,520,320","294,500","3,520,320","2,805,612","272,820","278,028","105,473","505","1,224","881","70,527","12,685","10,026","5,215","2,612","8,154","17,185","14,650","3,925","972","217","644","2,092","89,408","294,500","32,431","199,457","12,093","20,655","","3,814,820","3,071,749","339,190","511,353","88,846","7,934","103,624","","3,814,820","356,299","295,169","12,497","2,561","46,072","3,458,521","2,585,779","269,430","268,571","70,326","3,792","3,337","257,286","1,385","255,901","1,677,646"
"    Percent","","3,814,820","49.5%","50.5%","6.9%","7.0%","6.8%","6.8%","7.4%","13.5%","12.3%","13.3%","6.5%","5.5%","8.0%","4.4%","1.7%","(X)","75.5%","71.0%","17.3%","14.1%","2,878,536","49.0%","51.0%","536,007","44.1%","55.9%","","3,814,820","92.3%","7.7%","92.3%","73.5%","7.2%","7.3%","2.8%","0.0%","0.0%","0.0%","1.8%","0.3%","0.3%","0.1%","0.1%","0.2%","0.5%","0.4%","0.1%","0.0%","0.0%","0.0%","0.1%","2.3%","7.7%","0.9%","5.2%","0.3%","0.5%","","3,814,820","80.5%","8.9%","13.4%","2.3%","0.2%","2.7%","","3,814,820","9.3%","7.7%","0.3%","0.1%","1.2%","90.7%","67.8%","7.1%","7.0%","1.8%","0.1%","0.1%","6.7%","0.0%","6.7%","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,899,353","1,932,789","1,966,564","232,113","242,870","239,135","247,170","266,293","532,957","505,210","521,859","275,851","254,202","330,054","168,880","82,759","38.9","3,038,607","2,881,420","730,015","581,693","3,038,607","1,488,594","1,550,013","581,693","261,312","320,381","","3,899,353","3,743,002","156,351","3,743,002","3,321,591","69,719","47,066","3,676","1,421","428","747","149,455","15,640","37,775","15,985","12,885","19,630","26,798","20,742","16,415","3,436","1,509","2,994","8,476","138,756","156,351","19,719","57,693","36,331","2,475","","3,899,353","3,466,202","100,569","117,529","199,752","29,812","156,815","","3,899,353","474,155","400,498","11,190","3,978","58,489","3,425,198","3,026,649","66,879","37,023","147,243","16,013","4,772","126,619","3,368","123,251","1,682,531"
"    Percent","","3,899,353","49.6%","50.4%","6.0%","6.2%","6.1%","6.3%","6.8%","13.7%","13.0%","13.4%","7.1%","6.5%","8.5%","4.3%","2.1%","(X)","77.9%","73.9%","18.7%","14.9%","3,038,607","49.0%","51.0%","581,693","44.9%","55.1%","","3,899,353","96.0%","4.0%","96.0%","85.2%","1.8%","1.2%","0.1%","0.0%","0.0%","0.0%","3.8%","0.4%","1.0%","0.4%","0.3%","0.5%","0.7%","0.5%","0.4%","0.1%","0.0%","0.1%","0.2%","3.6%","4.0%","0.5%","1.5%","0.9%","0.1%","","3,899,353","88.9%","2.6%","3.0%","5.1%","0.8%","4.0%","","3,899,353","12.2%","10.3%","0.3%","0.1%","1.5%","87.8%","77.6%","1.7%","0.9%","3.8%","0.4%","0.1%","3.2%","0.1%","3.2%","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,763,536","6,229,333","6,534,203","718,316","748,822","776,618","873,913","889,550","1,572,037","1,554,970","1,876,017","928,146","783,217","1,062,517","659,446","319,967","40.5","10,026,082","9,448,622","2,495,978","2,041,930","10,026,082","4,828,422","5,197,660","2,041,930","867,210","1,174,720","","12,763,536","12,499,939","263,597","12,499,939","10,456,819","1,400,003","21,310","3,675","215","13","291","368,996","114,815","88,846","22,759","7,340","35,217","45,414","54,605","7,135","3,874","589","170","2,502","245,676","263,597","109,655","32,581","40,893","10,622","","12,763,536","10,679,676","1,551,490","81,764","427,212","21,838","286,317","","12,763,536","780,862","132,050","412,438","19,774","216,600","11,982,674","10,035,953","1,340,316","13,403","366,278","2,336","13,791","210,597","9,376","201,221","5,572,765"
"    Percent","","12,763,536","48.8%","51.2%","5.6%","5.9%","6.1%","6.8%","7.0%","12.3%","12.2%","14.7%","7.3%","6.1%","8.3%","5.2%","2.5%","(X)","78.6%","74.0%","19.6%","16.0%","10,026,082","48.2%","51.8%","2,041,930","42.5%","57.5%","","12,763,536","97.9%","2.1%","97.9%","81.9%","11.0%","0.2%","0.0%","0.0%","0.0%","0.0%","2.9%","0.9%","0.7%","0.2%","0.1%","0.3%","0.4%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","1.9%","2.1%","0.9%","0.3%","0.3%","0.1%","","12,763,536","83.7%","12.2%","0.6%","3.3%","0.2%","2.2%","","12,763,536","6.1%","1.0%","3.2%","0.2%","1.7%","93.9%","78.6%","10.5%","0.1%","2.9%","0.0%","0.1%","1.6%","0.1%","1.6%","(X)"
